janela,neuronio,ativacao,dropout,otimizador,perda,epocas,lotes
5,50,tanh,0.1,adam,mse,50,8
5,50,tanh,0.1,adam,mse,50,16
5,50,tanh,0.1,adam,mse,50,32
5,50,tanh,0.1,adam,mse,50,64
5,50,tanh,0.1,adam,mse,100,8
5,50,tanh,0.1,adam,mse,100,16
5,50,tanh,0.1,adam,mse,100,32
5,50,tanh,0.1,adam,mse,100,64
5,50,tanh,0.15,adam,mse,50,8
5,50,tanh,0.15,adam,mse,50,16
5,50,tanh,0.15,adam,mse,50,32
5,50,tanh,0.15,adam,mse,50,64
5,50,tanh,0.15,adam,mse,100,8
5,50,tanh,0.15,adam,mse,100,16
5,50,tanh,0.15,adam,mse,100,32
5,50,tanh,0.15,adam,mse,100,64
5,100,tanh,0.1,adam,mse,50,8
5,100,tanh,0.1,adam,mse,50,16
5,100,tanh,0.1,adam,mse,50,32
5,100,tanh,0.1,adam,mse,50,64
5,100,tanh,0.1,adam,mse,100,8
5,100,tanh,0.1,adam,mse,100,16
5,100,tanh,0.1,adam,mse,100,32
5,100,tanh,0.1,adam,mse,100,64
5,100,tanh,0.15,adam,mse,50,8
5,100,tanh,0.15,adam,mse,50,16
5,100,tanh,0.15,adam,mse,50,32
5,100,tanh,0.15,adam,mse,50,64
5,100,tanh,0.15,adam,mse,100,8
5,100,tanh,0.15,adam,mse,100,16
5,100,tanh,0.15,adam,mse,100,32
5,100,tanh,0.15,adam,mse,100,64
5,50,sigmoid,0.1,adam,mse,50,8
5,50,sigmoid,0.1,adam,mse,50,16
5,50,sigmoid,0.1,adam,mse,50,32
5,50,sigmoid,0.1,adam,mse,50,64
5,50,sigmoid,0.1,adam,mse,100,8
5,50,sigmoid,0.1,adam,mse,100,16
5,50,sigmoid,0.1,adam,mse,100,32
5,50,sigmoid,0.1,adam,mse,100,64
5,50,sigmoid,0.15,adam,mse,50,8
5,50,sigmoid,0.15,adam,mse,50,16
5,50,sigmoid,0.15,adam,mse,50,32
5,50,sigmoid,0.15,adam,mse,50,64
5,50,sigmoid,0.15,adam,mse,100,8
5,50,sigmoid,0.15,adam,mse,100,16
5,50,sigmoid,0.15,adam,mse,100,32
5,50,sigmoid,0.15,adam,mse,100,64
5,100,sigmoid,0.1,adam,mse,50,8
5,100,sigmoid,0.1,adam,mse,50,16
5,100,sigmoid,0.1,adam,mse,50,32
5,100,sigmoid,0.1,adam,mse,50,64
5,100,sigmoid,0.1,adam,mse,100,8
5,100,sigmoid,0.1,adam,mse,100,16
5,100,sigmoid,0.1,adam,mse,100,32
5,100,sigmoid,0.1,adam,mse,100,64
5,100,sigmoid,0.15,adam,mse,50,8
5,100,sigmoid,0.15,adam,mse,50,16
5,100,sigmoid,0.15,adam,mse,50,32
5,100,sigmoid,0.15,adam,mse,50,64
5,100,sigmoid,0.15,adam,mse,100,8
5,100,sigmoid,0.15,adam,mse,100,16
5,100,sigmoid,0.15,adam,mse,100,32
5,100,sigmoid,0.15,adam,mse,100,64
